#,id,app,name,applied
1,1,contenttypes,0001_initial,2022-09-21 01:50:03.299090
2,2,auth,0001_initial,2022-09-21 01:50:03.342068
3,3,account,0001_initial,2022-09-21 01:50:03.377678
4,4,account,0002_email_max_length,2022-09-21 01:50:03.396690
5,5,admin,0001_initial,2022-09-21 01:50:03.421675
6,6,admin,0002_logentry_remove_auto_add,2022-09-21 01:50:03.451980
7,7,admin,0003_logentry_add_action_flag_choices,2022-09-21 01:50:03.472398
8,8,contenttypes,0002_remove_content_type_name,2022-09-21 01:50:03.505397
9,9,auth,0002_alter_permission_name_max_length,2022-09-21 01:50:03.522404
10,10,auth,0003_alter_user_email_max_length,2022-09-21 01:50:03.544399
11,11,auth,0004_alter_user_username_opts,2022-09-21 01:50:03.559398
12,12,auth,0005_alter_user_last_login_null,2022-09-21 01:50:03.580398
13,13,auth,0006_require_contenttypes_0002,2022-09-21 01:50:03.591400
14,14,auth,0007_alter_validators_add_error_messages,2022-09-21 01:50:03.608400
15,15,auth,0008_alter_user_username_max_length,2022-09-21 01:50:03.627037
16,16,auth,0009_alter_user_last_name_max_length,2022-09-21 01:50:03.647865
17,17,auth,0010_alter_group_name_max_length,2022-09-21 01:50:03.666954
18,18,auth,0011_update_proxy_permissions,2022-09-21 01:50:03.686072
19,19,auth,0012_alter_user_first_name_max_length,2022-09-21 01:50:03.707035
20,20,authtoken,0001_initial,2022-09-21 01:50:03.725502
21,21,authtoken,0002_auto_20160226_1747,2022-09-21 01:50:03.762540
22,22,authtoken,0003_tokenproxy,2022-09-21 01:50:03.773501
23,23,investment,0001_initial,2022-09-21 01:50:03.813558
24,24,sessions,0001_initial,2022-09-21 01:50:03.835557
25,25,sites,0001_initial,2022-09-21 01:50:03.845567
26,26,sites,0002_alter_domain_unique,2022-09-21 01:50:03.858464
